recipient,Reason 1,Reason 2,Reason 3,Reason 4,Reason 5
Australia,0,0,0,0,0
Austria,2,0,0,0,0
Belgium,0,0,0,0,0
Brazil,1676,1066,932,844,484
Canada,0,0,0,0,0
Chile,776,437,233,522,234
Colombia,977,848,1551,607,368
Cyprus,7,42,3,24,10
Czech Republic,16,125,19,53,29
Denmark,0,0,0,0,0
Estonia,9,75,25,28,16
Finland,0,1,0,0,0
France,0,0,0,0,0
Germany,0,2,0,0,0
Greece,0,0,0,0,0
Hungary,18,104,20,53,38
Iceland,0,0,0,0,0
India,1684,1025,1167,776,810
Ireland,0,0,0,0,0
Italy,0,0,0,0,0
Japan,0,0,0,0,0
Korea,14,85,4,55,14
Kuwait,2,35,0,11,4
Latvia,14,76,29,30,20
Liechtenstein,0,1,0,0,0
Lithuania,15,87,26,24,25
Luxembourg,0,0,0,0,0
New Zealand,0,0,0,0,0
Norway,0,0,0,0,0
Poland,25,146,23,62,64
Portugal,0,0,0,0,0
Qatar,1,34,0,11,2
Romania,68,210,63,61,88
Saudi Arabia,110,64,7,67,15
Slovak Republic,22,88,29,46,25
Slovenia,11,62,10,87,10
South Africa,1111,1100,1169,603,504
Spain,0,0,0,0,0
Sweden,0,0,0,0,0
Switzerland,0,0,0,0,0
Taiwan,7,57,0,17,6
Thailand,1510,405,288,595,256
United Arab Emirates,1,50,2,13,4
United Kingdom,0,0,0,0,0
United States,0,3,0,4,0
